,text,pred,label,negative,positive,time
0,"Man, this is so much more fun to watch than official news.",1,POSITIVE,0.0006203709053806961,0.9993796348571777,2022-03-02
1,Have fun and good luck at the Beijing Olympics.  You guys are going to witness the best Winter Games ever!,1,POSITIVE,0.00011781191278714687,0.999882161617279,2022-03-02
2,Good luck Team 🇬🇧. Billions of people will be watching and cheering you on! Have a wonderful time in Beijing. Mad respect to all the Olympians.,1,POSITIVE,0.00011866082058986649,0.9998813271522522,2022-03-02
3,Hope all of great athletes from all over the world enjoy your game! You’re the pride of the human being! ,1,POSITIVE,0.0001186864756164141,0.9998813271522522,2022-03-02
4,"Loving the videos with the behind the scenes perspective, even the kit bag video. Good luck in Beijing and look forward to seeing more videos over the next few weeks.",1,POSITIVE,0.00019029180111829191,0.9998096823692322,2022-03-02
5,"Huge respect to all the Olympians from all over the world, you guys/girls are the best among the best, can't wait to watch the opening ceremony and the games! Good luck and upload more videos please!",1,POSITIVE,0.00013153473264537752,0.9998685121536255,2022-03-02
6,Lovely. Best wishes to all athletes who have worked so hard for this moment!,1,POSITIVE,0.00018689525313675404,0.9998131394386292,2022-03-02
7,"Imaging how much dedications and efforts those players have to put to reserve a seat in Olympic competition, very very very few people can achieve this. I am so jealous. Well done. Enjoy the game! You are the winners already.",1,POSITIVE,0.000448125705588609,0.9995518922805786,2022-03-02
8,Hope you can show us more from your time there in Beijing. Would love to know your activities and your experience there. Good luck hope you do well in the Games.,1,POSITIVE,0.00014656860730610788,0.9998534321784973,2022-03-02
9,all the best to the GB team ,1,POSITIVE,0.00021958227443974465,0.9997804164886475,2022-03-02
10,"Feel so happy that u all guys love the Beijing Olympics. Thanks for providing a different view on watching the game ceremony. Fingers crossed for all of u, young lads and ladies.",1,POSITIVE,0.00018912737141363323,0.9998108744621277,2022-03-02
11,Thank you for the video. Would love to see more about the Beijing Olympics! Exciting! ,1,POSITIVE,0.00014684505003970116,0.9998531937599182,2022-03-02
12,"Wishing you guys have a good time in Beijing, and play for the best of your performance in the competitions....",1,POSITIVE,0.0020037752110511065,0.9979962110519409,2022-03-02
13,All the best Niall and Kathryn.  Enjoy the game in Beijing and wish you good results! Happy Chinese New Year!,1,POSITIVE,0.000126725499285385,0.9998732805252075,2022-03-02
14,Love to see more scenes behind the game and more about China city,1,POSITIVE,0.0002981058496516198,0.9997019171714783,2022-03-02
15,"Welcome to Beijing, wish you best of luck in the games, and most importantly, having a great time",1,POSITIVE,0.00013570694136433303,0.9998643398284912,2022-03-02
16,Ice arena looking fabulous !,1,POSITIVE,0.00012978729500900954,0.9998701810836792,2022-03-02
