,text,pred,label,score,negative,neutral,positive,time
0,"Man, this is so much more fun to watch than official news.",2,POS,0.8872660994529724,0.013255232945084572,0.09947867691516876,0.8872660994529724,2022-03-02
1,Have fun and good luck at the Beijing Olympics.  You guys are going to witness the best Winter Games ever!,2,POS,0.9868640899658203,0.0018626853125169873,0.011273241601884365,0.9868640899658203,2022-03-02
2,Good luck Team 🇬🇧. Billions of people will be watching and cheering you on! Have a wonderful time in Beijing. Mad respect to all the Olympians.,2,POS,0.616931140422821,0.09497381001710892,0.28809502720832825,0.616931140422821,2022-03-02
3,Hope all of great athletes from all over the world enjoy your game! You’re the pride of the human being! ,2,POS,0.9898779988288879,0.002221104921773076,0.007900919765233994,0.9898779988288879,2022-03-02
4,"Loving the videos with the behind the scenes perspective, even the kit bag video. Good luck in Beijing and look forward to seeing more videos over the next few weeks.",2,POS,0.625653088092804,0.006962146610021591,0.36738479137420654,0.625653088092804,2022-03-02
5,"Huge respect to all the Olympians from all over the world, you guys/girls are the best among the best, can't wait to watch the opening ceremony and the games! Good luck and upload more videos please!",2,POS,0.9790104031562805,0.0027493431698530912,0.018240192905068398,0.9790104031562805,2022-03-02
6,Lovely. Best wishes to all athletes who have worked so hard for this moment!,2,POS,0.8128505945205688,0.01762082800269127,0.16952858865261078,0.8128505945205688,2022-03-02
7,"Imaging how much dedications and efforts those players have to put to reserve a seat in Olympic competition, very very very few people can achieve this. I am so jealous. Well done. Enjoy the game! You are the winners already.",2,POS,0.9742236733436584,0.006361252162605524,0.019415058195590973,0.9742236733436584,2022-03-02
8,Hope you can show us more from your time there in Beijing. Would love to know your activities and your experience there. Good luck hope you do well in the Games.,2,POS,0.9898242950439453,0.0011668900260701776,0.009008794091641903,0.9898242950439453,2022-03-02
9,all the best to the GB team ,2,POS,0.8601737022399902,0.0168635044246912,0.12296273559331894,0.8601737022399902,2022-03-02
10,"Feel so happy that u all guys love the Beijing Olympics. Thanks for providing a different view on watching the game ceremony. Fingers crossed for all of u, young lads and ladies.",2,POS,0.985511302947998,0.002822098322212696,0.011666606180369854,0.985511302947998,2022-03-02
11,Thank you for the video. Would love to see more about the Beijing Olympics! Exciting! ,2,POS,0.9917342066764832,0.0015822798013687134,0.006683517247438431,0.9917342066764832,2022-03-02
12,"Wishing you guys have a good time in Beijing, and play for the best of your performance in the competitions....",2,POS,0.9554543495178223,0.0033295562025159597,0.041216131299734116,0.9554543495178223,2022-03-02
13,All the best Niall and Kathryn.  Enjoy the game in Beijing and wish you good results! Happy Chinese New Year!,2,POS,0.9654775857925415,0.00230318121612072,0.03221924230456352,0.9654775857925415,2022-03-02
14,Love to see more scenes behind the game and more about China city,1,NEU,0.6542035341262817,0.03463757783174515,0.6542035341262817,0.3111588954925537,2022-03-02
15,"Welcome to Beijing, wish you best of luck in the games, and most importantly, having a great time",2,POS,0.8941856026649475,0.005227578338235617,0.10058683156967163,0.8941856026649475,2022-03-02
16,Ice arena looking fabulous !,2,POS,0.991628885269165,0.002207966521382332,0.0061631714925169945,0.991628885269165,2022-03-02
17,I am excited to watch all games in Beijing Olympic! Thank you Beijing for wonderful preparing and present such wonderful game to the world! That is spirit of Olympic!,2,POS,0.9916871190071106,0.0017007195856422186,0.006612108554691076,0.9916871190071106,2022-03-02
18,"Two thousand five hundred years ago, Confucius said, ""What a joy it is to have friends coming from afar."" I hope friends from all over the world will have a good time in Beijing",2,POS,0.9770029187202454,0.0054444377310574055,0.01755264401435852,0.9770029187202454,2022-03-02
19,"Welcome to Beijing,  hope you enjoy and have fun,  greetings from Hong Kong ",2,POS,0.8275912404060364,0.004627708345651627,0.1677810400724411,0.8275912404060364,2022-03-02
20,Wish the best Winter Olympics in Beijing. Hope all athletes may forget the bullshit from politicians and enjoy the game.,2,POS,0.9544849395751953,0.010645616799592972,0.03486946225166321,0.9544849395751953,2022-03-02
21,"Wow! so well picked pictures! well picked video! all focus on fences and cages! haha, I can be a reporter too. You have your right to live with the virus, why others don't have the right to choose not to live with the virus. It's cultural differences. you don't need to demonise others when they don't want to do the same thing as yours.",1,NEU,0.7780812382698059,0.036582961678504944,0.7780812382698059,0.18533585965633392,2022-03-02
22,Beijing winter Olympic Games - Go! Go! Go!,2,POS,0.5292635560035706,0.017141258344054222,0.45359519124031067,0.5292635560035706,2022-03-02
23,It always amazes me how y'all turn the positive facts into negative narrations,0,NEG,0.5780171155929565,0.5780171155929565,0.3054513931274414,0.11653141677379608,2022-03-02
24,Looking forward to see the Beijing Winter Olympics Opening Ceremony.,1,NEU,0.5602107048034668,0.045293983072042465,0.5602107048034668,0.39449530839920044,2022-03-02
25,The world's biggest sporting event is suppose to unite people and bringing the world closer. ,1,NEU,0.7328111529350281,0.038710154592990875,0.7328111529350281,0.22847867012023926,2022-03-02
26,"I've seen different stories from here, as well as a lot of video clips shared by other athletes themselves, who are enjoying themselves in Beijing right now.  A balance needs to be found to protect local residents and international athletes from virus. Robotic restaurants and self-driving cars are coming as solutions.",1,NEU,0.8326706290245056,0.07303943485021591,0.8326706290245056,0.09428991377353668,2022-03-02
27,"This journalist is not only got a blind eye, but also got blind heart.",0,NEG,0.8839905261993408,0.8839905261993408,0.10660433024168015,0.009405196644365788,2022-03-02
28,"You like it, you don't like it, I am sure 99.9% of the participating athletes will be enjoying the game.......",1,NEU,0.9370849132537842,0.020780622959136963,0.9370849132537842,0.04213448241353035,2022-03-02
29,"Despite fake news and hate from the west, China remains focused on hosting a successful Winter Olympics. It seems unstoppable. That's an attitude that I admire to be honest.",0,NEG,0.5544859170913696,0.5544859170913696,0.4185603857040405,0.026953645050525665,2022-03-02
30,Can't wait for ice hockey ,1,NEU,0.5420629978179932,0.05389358475804329,0.5420629978179932,0.4040433466434479,2022-03-02
31,What I can see is well organized national event. They tried their best to serve the athletes and make sure to minimize the virus spread. No other countries can control the virus better than China. Love to see western media use every possible way to turn all these positive things into negative narrations.,2,POS,0.9738211631774902,0.004950758535414934,0.021228032186627388,0.9738211631774902,2022-03-02
32,I am okay with different opinions.   But WP's criticism as such with clearly from a biased standpoint is really disgusting......,0,NEG,0.9683330655097961,0.9683330655097961,0.02622772566974163,0.005439191125333309,2022-03-02
33,it is interesting to see how WP spread sad mood through this “interview”,1,NEU,0.8286250233650208,0.08356986194849014,0.8286250233650208,0.08780514448881149,2022-03-02
34,"When I see ""Washington Post"" I pretty much sure what's in it.",1,NEU,0.8510937094688416,0.12964357435703278,0.8510937094688416,0.019262734800577164,2022-03-02
35,"I live in China. I was hoping for something actually about the athletes. We already know it's in a bubble, it's not news. I'm sure China will pull off a masterful job of hosting, but no one is talking about the competition and the athletes.",1,NEU,0.771472156047821,0.19505566358566284,0.771472156047821,0.033472150564193726,2022-03-02
36,WP literally made a lot of efforts in selecting the pictures but not in good journalism,0,NEG,0.6876978874206543,0.6876978874206543,0.3041081726551056,0.008193865418434143,2022-03-02
37,"Human being need peace no wars, this is the why we need olympics",1,NEU,0.4611131548881531,0.3637703061103821,0.4611131548881531,0.17511652410030365,2022-03-02
38,I am excited to watch all games in Beijing Olympic! Thank you Beijing for wonderful preparing and present such wonderful game to the world! That is spirit of Olympic!,2,POS,0.9916871190071106,0.0017007195856422186,0.006612107623368502,0.9916871190071106,2022-03-02
39,You guys forgot to mention that participants are allowed to go and spectate other events since they are in a bubble and they set up a high speed rail network for them to travel around the venues.  This was something that wasn’t even available in the Tokyo games but yours Deliberately left that out and try to make it sound like it’s a controlled game. Trying to demonise china once again.,0,NEG,0.8162290453910828,0.8162290453910828,0.17183440923690796,0.011936536058783531,2022-03-02
40,"The weather is very dry in the Beijing area and there is snowfall but not much, this  includes the mountains where the olympics are being held. So it is not a matter of occasional using snow machines, but needing vast amounts of snow making. ",1,NEU,0.6629335880279541,0.3141164779663086,0.6629335880279541,0.022949961945414543,2022-01-31
41,"They looked at 16 previous games, they found environmental, social, and economic sustainability generally trended downwards over time.",1,NEU,0.8261302709579468,0.09769970178604126,0.8261302709579468,0.07617004960775375,2022-01-31
42,It's more a sign than there is already a disaster happening in the environment worldwide.,0,NEG,0.9415444135665894,0.9415444135665894,0.04904790222644806,0.009407669305801392,2022-01-31
43,I'm old enough to remember when we used to have real snow.,1,NEU,0.7399237155914307,0.20966875553131104,0.7399237155914307,0.050407517701387405,2022-03-02
44,"Chose places that already have most of the facilities available (then that excludes poorer countries that could do with more infrastructure). Even then, there are eplenty of abandoned sites. It was great competing at Sydney Olympic Park's athletics track and aquatic centre after the games, plus most of the facilities are still in use!",2,POS,0.8883165717124939,0.02873186208307743,0.08295155316591263,0.8883165717124939,2022-01-31
45,"In North America, winter resorts always generate tons if snow every year. Every country that hosted winter Olympics also generated snow. They are collectively doing something to environment if that is the case. I still think it does not have much adverse affect on the environment.",1,NEU,0.9063728451728821,0.05297001823782921,0.9063728451728821,0.040657177567481995,2022-01-31
46,"as IOC website said, ""All venues will be powered by renewable energy for the first time at the Olympic Games."" in Beijing 2022",1,NEU,0.8451746702194214,0.022804558277130127,0.8451746702194214,0.13202080130577087,2022-03-02
47,Questions to ask: How does the winter look like in this region in the year before 2015 (the time Beijing was picked to host the game). were they always this dry and no snow as well?,1,NEU,0.813473105430603,0.18014252185821533,0.813473105430603,0.00638439180329442,2022-01-31
48,They should pick one or two countries that they’ve already built in and use that for where they host the Olympics so that they don’t have to keep building. They’ve already done enough damage as is,1,NEU,0.6165876984596252,0.33370402455329895,0.6165876984596252,0.04970834404230118,2022-01-31
49,The next World Cup would be in Quatar where there would be an air-condition in the stadium!,1,NEU,0.8384633660316467,0.014700191095471382,0.8384633660316467,0.14683648943901062,2022-01-31
50,"Same thing happened during the Vancouver Olympics. We literally had to truck in new snow. However I don't remember anyone ever calling it a ""disaster for the environment"".",0,NEG,0.913096010684967,0.913096010684967,0.07627744972705841,0.010626529343426228,2022-01-31
51,A Winter Olympic cannot be called Winter Olympic without Winter.,1,NEU,0.904758095741272,0.048838723450899124,0.904758095741272,0.04640313982963562,2022-03-02
52,Interesting why you say this about China and you don’t say it about thousands of other ski hills around the world that do the same.,0,NEG,0.9739750027656555,0.9739750027656555,0.023124031722545624,0.0029009804129600525,2022-01-31
53,gotta say that is pretty amazing feat,2,POS,0.9637096524238586,0.0030182665213942528,0.03327208384871483,0.9637096524238586,2022-03-02
54,"This comforts me because it shows China doesn't have access to weather machines as they would have used it to make it snow so their winter olympics would be ""the best ever"".",2,POS,0.7860698103904724,0.05544741451740265,0.15848274528980255,0.7860698103904724,2022-01-31
55,"We've been doing this at ski resorts worldwide... Never did we not, because of the environment",1,NEU,0.7549439668655396,0.14535583555698395,0.7549439668655396,0.09970010817050934,2022-01-31
56,"I don't care about the Olympics, since the viewing rights are not freely available in my country, but rather tied up in expensive exclusive license agreements.",0,NEG,0.7331801652908325,0.7331801652908325,0.25503554940223694,0.011784271337091923,2022-01-31
57,This situation has happened in traditional skiing countries many times in last 50 years.,0,NEG,0.5966702699661255,0.5966702699661255,0.3861222565174103,0.017207466065883636,2022-01-31
58,Using snow making machines is common in ski resorts... but not on this scale. It's on a nature reserve and this area rarely receives snow. Compare this to games held in Utah... they actually receive real snow in the winter.,1,NEU,0.8645572066307068,0.1134704053401947,0.8645572066307068,0.021972397342324257,2022-01-31
59,This is BSB reporter. I'm here inside the Beijing Olympics Village. This is the village where American athletes will be staying.  I am here with the Manager of the Village Planner Officer.,1,NEU,0.9124500155448914,0.016733206808567047,0.9124500155448914,0.07081682235002518,2022-03-02
60,Just gives peace to the olympics,2,POS,0.9515169858932495,0.009052079170942307,0.039430882781744,0.9515169858932495,2022-03-02
61,"Spectacular! It's a magical world out there. Salute to the workers and organizers who made it possible.  It's the moment of the athletes to shine and show their best. Beautiful ceremony despite the pandemic. A time of unity, PEACE and LOVE.",2,POS,0.9902572631835938,0.0021842028945684433,0.007558553479611874,0.9902572631835938,2022-03-02
