,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
0,"another crucial aspect of the BRI is, is that it connects all of these countries by roads and ports - not just connect it to China. That is essentially what the ancient Silk Road was - a connection between the myriad countries where it ran. It brought prosperity to all. Especially China but not because the 'roads and ports all lead to China' but because it was a gigantic economy even back then",4,neutral,0.8999188542366028,0.008717077784240246,0.007538916077464819,0.003355434164404869,0.017495708540081978,0.8999188542366028,0.0037750292103737593,0.059199027717113495
1,"To my surprise, AJ is indeed capable of shedding a fair spotlight on China in this regard. A lot less like the typical Western media.",6,surprise,0.9743340611457825,0.00304700480774045,0.0008822243544273078,0.0011203675530850887,0.006276484578847885,0.012761472724378109,0.0015783855924382806,0.9743340611457825
2,"I like the conclusion: the competition between China and the West to provide infrastructure to developing nations will likely be good for the developing nations. These countries need infrastructure more than they need ideological purity. If big nations want to compete to provide that infrastructure, all the better!",3,joy,0.915801465511322,0.010635112412273884,0.010212000459432602,0.000538103689905256,0.915801465511322,0.054366521537303925,0.0022399313747882843,0.006206910591572523
3,"Something I've witnessed in Thailand , a humongous highway structure was being built on a main route heading south from the north east, great round pillars maybe 40mtrs or more high , with equipment like some thing from a thunderbird film , sliding great sections of road , from pillars to pillars , amazing ..",6,surprise,0.9092693328857422,0.006263887044042349,0.0028841900639235973,0.01950230449438095,0.034495990723371506,0.024121934548020363,0.003462337190285325,0.9092693328857422
4,"The host lady is conducting the show in a sound professional manner, throwing ample light on the pros and cons of the Chinese development initiatives covering the African continent to the Gaweder in Pakistan. To help the poor and impoverished nations every single step taken by China is admirable. Poor wants to bring bread on the table.",4,neutral,0.6032387614250183,0.02182767167687416,0.20605355501174927,0.0019640240352600813,0.14971871674060822,0.6032387614250183,0.010223937220871449,0.00697330292314291
5,This is called real reporting about BRI..... unbiased.,4,neutral,0.9169520735740662,0.019230831414461136,0.024141622707247734,0.000950474466662854,0.012615845538675785,0.9169520735740662,0.0020456372294574976,0.024063486605882645
6,"The BRI is an umbrella initiative spanning a multitude of projects designed to promote the flow of goods, investment, and people. The new connections fostered by the BRI could reconfigure relationships, reroute economic activity, and shift power within and between states.",4,neutral,0.8531363010406494,0.017734576016664505,0.00918559543788433,0.012490993365645409,0.06534310430288315,0.8531363010406494,0.002853083424270153,0.039256416261196136
7,I honestly can't see the US or any European nations doing this in any country without China starting First.,6,surprise,0.32222333550453186,0.15704219043254852,0.18127641081809998,0.010671818628907204,0.0019534819293767214,0.320224791765213,0.006607940886169672,0.32222333550453186
8,"Comparing China and America... Two of the most technologically advanced super powers; one has thousands of military bases in other poor countries, and one has built thousands of miles roads and homes in other poor countries. I wouldn’t choose more foreigners military bases in my city and staying poor.",4,neutral,0.3738986849784851,0.04442659765481949,0.22654488682746887,0.008674444630742073,0.009696618653833866,0.3738986849784851,0.24291233718395233,0.09384647756814957
9,This is the only objective report I've found on the BRI. Allow developing countries to make their own decisions. Having China or the West decide for them is merely another type of colonialism.,4,neutral,0.913456916809082,0.020661786198616028,0.051387082785367966,0.0016198494704440236,0.0023069335147738457,0.913456916809082,0.005102535244077444,0.005464842543005943
