text,time
"Man, this is so much more fun to watch than official news.",2022-03-02
Have fun and good luck at the Beijing Olympics.  You guys are going to witness the best Winter Games ever!,2022-03-02
Good luck Team 🇬🇧. Billions of people will be watching and cheering you on! Have a wonderful time in Beijing. Mad respect to all the Olympians.,2022-03-02
Hope all of great athletes from all over the world enjoy your game! You’re the pride of the human being! ,2022-03-02
"Loving the videos with the behind the scenes perspective, even the kit bag video. Good luck in Beijing and look forward to seeing more videos over the next few weeks.",2022-03-02
"Huge respect to all the Olympians from all over the world, you guys/girls are the best among the best, can't wait to watch the opening ceremony and the games! Good luck and upload more videos please!",2022-03-02
Lovely. Best wishes to all athletes who have worked so hard for this moment!,2022-03-02
"Imaging how much dedications and efforts those players have to put to reserve a seat in Olympic competition, very very very few people can achieve this. I am so jealous. Well done. Enjoy the game! You are the winners already.",2022-03-02
Hope you can show us more from your time there in Beijing. Would love to know your activities and your experience there. Good luck hope you do well in the Games.,2022-03-02
all the best to the GB team ,2022-03-02
"Feel so happy that u all guys love the Beijing Olympics. Thanks for providing a different view on watching the game ceremony. Fingers crossed for all of u, young lads and ladies.",2022-03-02
Thank you for the video. Would love to see more about the Beijing Olympics! Exciting! ,2022-03-02
"Wishing you guys have a good time in Beijing, and play for the best of your performance in the competitions....",2022-03-02
All the best Niall and Kathryn.  Enjoy the game in Beijing and wish you good results! Happy Chinese New Year!,2022-03-02
Love to see more scenes behind the game and more about China city,2022-03-02
"Welcome to Beijing, wish you best of luck in the games, and most importantly, having a great time",2022-03-02
Ice arena looking fabulous !,2022-03-02
I am excited to watch all games in Beijing Olympic! Thank you Beijing for wonderful preparing and present such wonderful game to the world! That is spirit of Olympic!,2022-03-02
"Two thousand five hundred years ago, Confucius said, ""What a joy it is to have friends coming from afar."" I hope friends from all over the world will have a good time in Beijing",2022-03-02
"Welcome to Beijing,  hope you enjoy and have fun,  greetings from Hong Kong ",2022-03-02
Wish the best Winter Olympics in Beijing. Hope all athletes may forget the bullshit from politicians and enjoy the game.,2022-03-02
"Wow! so well picked pictures! well picked video! all focus on fences and cages! haha, I can be a reporter too. You have your right to live with the virus, why others don't have the right to choose not to live with the virus. It's cultural differences. you don't need to demonise others when they don't want to do the same thing as yours.",2022-03-02
Beijing winter Olympic Games - Go! Go! Go!,2022-03-02
It always amazes me how y'all turn the positive facts into negative narrations,2022-03-02
Looking forward to see the Beijing Winter Olympics Opening Ceremony.,2022-03-02
The world's biggest sporting event is suppose to unite people and bringing the world closer. ,2022-03-02
"I've seen different stories from here, as well as a lot of video clips shared by other athletes themselves, who are enjoying themselves in Beijing right now.  A balance needs to be found to protect local residents and international athletes from virus. Robotic restaurants and self-driving cars are coming as solutions.",2022-03-02
"This journalist is not only got a blind eye, but also got blind heart.",2022-03-02
"You like it, you don't like it, I am sure 99.9% of the participating athletes will be enjoying the game.......",2022-03-02
"Despite fake news and hate from the west, China remains focused on hosting a successful Winter Olympics. It seems unstoppable. That's an attitude that I admire to be honest.",2022-03-02
Can't wait for ice hockey ,2022-03-02
What I can see is well organized national event. They tried their best to serve the athletes and make sure to minimize the virus spread. No other countries can control the virus better than China. Love to see western media use every possible way to turn all these positive things into negative narrations.,2022-03-02
I am okay with different opinions.   But WP's criticism as such with clearly from a biased standpoint is really disgusting......,2022-03-02
it is interesting to see how WP spread sad mood through this “interview”,2022-03-02
"When I see ""Washington Post"" I pretty much sure what's in it.",2022-03-02
"I live in China. I was hoping for something actually about the athletes. We already know it's in a bubble, it's not news. I'm sure China will pull off a masterful job of hosting, but no one is talking about the competition and the athletes.",2022-03-02
WP literally made a lot of efforts in selecting the pictures but not in good journalism,2022-03-02
"Human being need peace no wars, this is the why we need olympics",2022-03-02
I am excited to watch all games in Beijing Olympic! Thank you Beijing for wonderful preparing and present such wonderful game to the world! That is spirit of Olympic!,2022-03-02
You guys forgot to mention that participants are allowed to go and spectate other events since they are in a bubble and they set up a high speed rail network for them to travel around the venues.  This was something that wasn’t even available in the Tokyo games but yours Deliberately left that out and try to make it sound like it’s a controlled game. Trying to demonise china once again.,2022-03-02
"The weather is very dry in the Beijing area and there is snowfall but not much, this  includes the mountains where the olympics are being held. So it is not a matter of occasional using snow machines, but needing vast amounts of snow making. ",2022-01-31
"They looked at 16 previous games, they found environmental, social, and economic sustainability generally trended downwards over time.",2022-01-31
It's more a sign than there is already a disaster happening in the environment worldwide.,2022-01-31
I'm old enough to remember when we used to have real snow.,2022-03-02
"Chose places that already have most of the facilities available (then that excludes poorer countries that could do with more infrastructure). Even then, there are eplenty of abandoned sites. It was great competing at Sydney Olympic Park's athletics track and aquatic centre after the games, plus most of the facilities are still in use!",2022-01-31
"In North America, winter resorts always generate tons if snow every year. Every country that hosted winter Olympics also generated snow. They are collectively doing something to environment if that is the case. I still think it does not have much adverse affect on the environment.",2022-01-31
"as IOC website said, ""All venues will be powered by renewable energy for the first time at the Olympic Games."" in Beijing 2022",2022-03-02
Questions to ask: How does the winter look like in this region in the year before 2015 (the time Beijing was picked to host the game). were they always this dry and no snow as well?,2022-01-31
They should pick one or two countries that they’ve already built in and use that for where they host the Olympics so that they don’t have to keep building. They’ve already done enough damage as is,2022-01-31
The next World Cup would be in Quatar where there would be an air-condition in the stadium!,2022-01-31
"Same thing happened during the Vancouver Olympics. We literally had to truck in new snow. However I don't remember anyone ever calling it a ""disaster for the environment"".",2022-01-31
A Winter Olympic cannot be called Winter Olympic without Winter.,2022-03-02
Interesting why you say this about China and you don’t say it about thousands of other ski hills around the world that do the same.,2022-01-31
gotta say that is pretty amazing feat,2022-03-02
"This comforts me because it shows China doesn't have access to weather machines as they would have used it to make it snow so their winter olympics would be ""the best ever"".",2022-01-31
"We've been doing this at ski resorts worldwide... Never did we not, because of the environment",2022-01-31
